keyword,keyword_group,url,estimated_daily_traffic,coverage traffic,latest_date,avg_rank,pagepath,custom_page_cate_id,custom_page_page_id,custom_page_province_id,custom_page_district_id,custom_page_ward_id,type,Cateype,search_by_location,include_gia,region,dup_check
Bat dong san,General Keywords,/,1890.114114,0.093659453,44461,1.01980198,/,,,,,,non-detect,"nghi duong, trang trai, khac",location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Bất động sản,General Keywords,/,358.0416567,0.111401232,44461,1.144230769,/,,,,,,non-detect,"nghi duong, trang trai, khac",non-detect,khong_gia,Others/non-detect,1
chung cư,Property Type,/ban-can-ho-chung-cu,252.85824,0.123930933,44342,1.890909091,/ban-can-ho-chung-cu,,,,,,non-detect,chung cư,non_detect,khong_gia,Others/non-detect,1
Mua bán nhà đất,For Sale - General,/nha-dat-ban,184.7538284,0.133085905,44461,2.242718447,/nha-dat-ban,,,,,,For Sale,nha_general,non_detect,khong_gia,Others/non-detect,1
Nhà đất,Property Type,/nha-dat-ban,147.3374857,0.140386812,44461,1.252427184,/nha-dat-ban,,,,,,non-detect,nha_general,non_detect,khong_gia,Others/non-detect,1
Ban dat,For Sale - General,/ban-dat,97.37510196,0.14521197,44461,1.436893204,/ban-dat,283,280,null,,,non-detect,"nghi duong, trang trai, khac",location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Bán đất,For Sale - General,/ban-dat,84.43101986,0.149395719,44461,1.737864078,/ban-dat,283,280,null,,,For Sale,dat,non_detect,khong_gia,Others/non-detect,1
Thuê nhà nguyên căn,For Rent - General,/cho-thue-nha-rieng-tp-hcm,83.48111689,0.153532398,44461,2.423076923,/cho-thue-nha-rieng-tp-hcm,,,,,,For Rent,nha_general,non_detect,khong_gia,Others/non-detect,1
Bán nhà,For Sale - General,/ban-nha-rieng,75.32942454,0.157265143,44461,1.525641026,/ban-nha-rieng,,,,,,For Sale,nha_general,non_detect,khong_gia,Others/non-detect,1
Cho thuê nhà,For Rent - General,/cho-thue-nha-rieng,72.0968575,0.160837706,44370,2.625,/cho-thue-nha-rieng,52,286,null,,,For Rent,nha_general,non_detect,khong_gia,Others/non-detect,1
Ecohome 3,Project Name - Hanoi,/ban-can-ho-chung-cu-ecohome-3,71.39926492,0.164375702,44461,1.076923077,/ban-can-ho-chung-cu-ecohome-3,,,,,,non-detect,chung cư,non_detect,khong_gia,HN,1
Nhà đất Hải Phòng,Property Type + Location,/nha-dat-ban-hai-phong,66.4898016,0.167670423,44461,1.288461538,/nha-dat-ban-hai-phong,,,,,,non-detect,nha_general,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
nhà đất hà nội,Property Type + Location,/nha-dat-ban-ha-noi,61.623654,0.170724015,44461,1,/nha-dat-ban-ha-noi,,,,,,non-detect,nha_general,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Masteri Thảo Điền,Project Name - HCM,/ban-can-ho-chung-cu-masteri-thao-dien,55.3234422,0.173465418,44461,1.663461538,/ban-can-ho-chung-cu-masteri-thao-dien,324,275,SG,54,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Bán đất Long An,For Sale - City;For Sale - Key Ward,/ban-dat-long-an,55.14976154,0.176198214,44461,1.259615385,/ban-dat-long-an,283,280,LA,,,For Sale,dat,phuong xa,khong_gia,Others/non-detect,1
Cho thuê nhà nguyên căn,For Rent - General,/cho-thue-nha-rieng-tp-hcm,54.47750538,0.178897698,44461,2.528846154,/cho-thue-nha-rieng-tp-hcm,,,,,,For Rent,nha_general,non_detect,khong_gia,Others/non-detect,1
chung cư Thanh Hà,Property Type + Location,/ban-can-ho-chung-cu-khu-do-thi-thanh-ha-muong-thanh,51.46062808,0.181447689,44461,1.461538462,/ban-can-ho-chung-cu-khu-do-thi-thanh-ha-muong-thanh,324,275,HN,15,,non-detect,chung cư,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Mỹ Đình Pearl,Project Name - Hanoi,/ban-can-ho-chung-cu-my-dinh-pearl,49.72703306,0.183911777,44461,1.461538462,/ban-can-ho-chung-cu-my-dinh-pearl,324,275,HN,14,,non-detect,chung cư,non_detect,khong_gia,HN,1
Vista Verde,Project Name - HCM,/ban-can-ho-chung-cu-vista-verde,49.53419529,0.186366309,44461,1.009615385,/ban-can-ho-chung-cu-vista-verde,,,,,,non-detect,chung cư,non_detect,khong_gia,HCM,1
Mua nha,For Sale - General,/ban-nha-rieng,47.46701055,0.188718407,44363,2.045454545,/ban-nha-rieng,,,,,,For Sale,"nghi duong, trang trai, khac",location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
Chung cư Đại Thanh,Project Name - Hanoi,/ban-can-ho-chung-cu-chung-cu-dai-thanh,47.38088248,0.191066238,44461,1.413461538,/ban-can-ho-chung-cu-chung-cu-dai-thanh,324,275,HN,13,,non-detect,chung cư,non_detect,khong_gia,HN,1
nhà trọ,Property Type,/cho-thue-nha-tro-phong-tro-tp-hcm,47.08144738,0.19339923,44461,3.942307692,/cho-thue-nha-tro-phong-tro-tp-hcm,,,,,,non-detect,Phòng trọ,non_detect,khong_gia,Others/non-detect,1
chung cư mini,Property Type,/tags/cho-thue/Thue-chung-cu-mini-gia-re-Ha-Noi,46.93805317,0.195725118,44461,3.851851852,/tags/cho-thue/Thue-chung-cu-mini-gia-re-Ha-Noi,,541,null,,,non-detect,chung cư,non_detect,khong_gia,Others/non-detect,1
Goldmark City,Project Name - Hanoi,/ban-can-ho-chung-cu-goldmark-city,46.57325751,0.198032928,44461,2.769230769,/ban-can-ho-chung-cu-goldmark-city,324,275,HN,718,,non-detect,chung cư,non_detect,khong_gia,HN,1
đất,Property Type,/ban-dat,46.13421671,0.200318984,44377,2.493150685,/ban-dat,283,280,null,,,non-detect,dat,non_detect,khong_gia,Others/non-detect,1
chung cư Hòa Bình,Property Type + Location,/ban-can-ho-chung-cu-hoa-binh-green-city,44.65186788,0.202531585,44461,1.990384615,/ban-can-ho-chung-cu-hoa-binh-green-city,324,275,HN,4,,non-detect,chung cư,location_quan hoac ten khu vuc,khong_gia,Others/non-detect,1
chung cư Quận 7,Property Type + Location,/ban-can-ho-chung-cu-quan-7,42.75548792,0.204650217,44461,1.375,/ban-can-ho-chung-cu-quan-7,,,,,,non-detect,chung cư,quan,khong_gia,Others/non-detect,1
